Cleaned_Ancestry,Initial_Ancestry_Sum,Initial_Ancestry_Count,Initial_Ancestry_Sum_%,Initial_Ancestry_Count_%,Replication_Ancestry_Sum,Replication_Ancestry_Count,Replication_Ancestry_Sum_%,Replication_Ancestry_Count_%
Hispanic / Latino,,,,,2826.0,1.0,0.003722254828173486,0.015001500150015003
European and Ashkenazi Jewish,,,,,2035.0,2.0,0.0026803922771879134,0.030003000300030006
African American and European,,,,,1893.0,1.0,0.00249335753352173,0.015001500150015003
South and Central American,,,,,1769.0,1.0,0.0023300314193343582,0.015001500150015003
Black African,,,,,1557.0,3.0,0.002050796449917239,0.045004500450045004
Polynesian,,,,,1536.0,2.0,0.0020231363821919587,0.030003000300030006
Singaporean Indian,,,,,1520.0,1.0,0.0020020620448774587,0.015001500150015003
Indigenous Mexican,,,,,1178.0,2.0,0.0015515980847800306,0.030003000300030006
Jamaican,,,,,1089.0,2.0,0.0014343720834681269,0.030003000300030006
Uygur Kazakh Chinese,,,,,840.0,2.0,0.0011064027090112272,0.030003000300030006
Mayan,,,,,475.0,2.0,0.0006256443890242059,0.030003000300030006
Middle Eastern Arab,,,,,352.0,2.0,0.0004636354209189904,0.030003000300030006
Afro Caribbean and Sub Saharan African,,,,,321.0,1.0,0.00042280389237214755,0.015001500150015003
Hispanic and Native American,,,,,282.0,1.0,0.0003714351951680548,0.015001500150015003
Malaysian,,,,,212.0,2.0,0.00027923496941711923,0.030003000300030006
Northeast Asian,,,,,204.0,2.0,0.00026869780075986947,0.030003000300030006
Ashkenazi Jewish Isreali,,,,,96.0,2.0,0.00012644602388699742,0.030003000300030006
East Asian or Asian,,,,,72.0,1.0,9.483451791524805e-05,0.015001500150015003
African America and European,,,,,68.0,1.0,8.956593358662316e-05,0.015001500150015003
Aboriginal Canadian,,,,,15.0,2.0,1.9757191232343343e-05,0.030003000300030006
Colored African,,,,,1.0,1.0,1.317146082156223e-06,0.015001500150015003
